Region,SPI,Year,Month,Values
Assam Meghalaya,2,1902,5,0.379346765
Assam Meghalaya,2,1902,6,0.03691427
Assam Meghalaya,2,1902,7,0.568161792
Assam Meghalaya,2,1902,8,0.774549104
Assam Meghalaya,2,1902,9,1.826485275
Assam Meghalaya,2,1902,10,0.746707298
Assam Meghalaya,2,1902,11,-0.707899448
Assam Meghalaya,2,1902,12,-1.490798808
Assam Meghalaya,2,1903,1,-0.409306433
Assam Meghalaya,2,1903,2,-0.02163284
Assam Meghalaya,2,1903,3,0.630328014
Assam Meghalaya,2,1903,4,-0.620377697
Assam Meghalaya,2,1903,5,-2.425906756
Assam Meghalaya,2,1903,6,-0.079051903
Assam Meghalaya,2,1903,7,0.534958042
Assam Meghalaya,2,1903,8,0.542060144
Assam Meghalaya,2,1903,9,1.05439297
Assam Meghalaya,2,1903,10,0.132399988
Assam Meghalaya,2,1903,11,0.590728705
Assam Meghalaya,2,1903,12,0.965615869
Assam Meghalaya,2,1904,1,-0.745424981
Assam Meghalaya,2,1904,2,0.832430831
Assam Meghalaya,2,1904,3,0.014093055
Assam Meghalaya,2,1904,4,2.388005023
Assam Meghalaya,2,1904,5,2.268383847
Assam Meghalaya,2,1904,6,-0.647948421
Assam Meghalaya,2,1904,7,-0.848721885
Assam Meghalaya,2,1904,8,0.467766464
Assam Meghalaya,2,1904,9,0.262827695
Assam Meghalaya,2,1904,10,-1.026091701
Assam Meghalaya,2,1904,11,-0.273275548
Assam Meghalaya,2,1904,12,0.802206848
Assam Meghalaya,2,1905,1,-0.41673693
Assam Meghalaya,2,1905,2,-0.337308116
Assam Meghalaya,2,1905,3,0.65876658
Assam Meghalaya,2,1905,4,0.368406574
Assam Meghalaya,2,1905,5,-0.664371638
Assam Meghalaya,2,1905,6,-0.537785406
Assam Meghalaya,2,1905,7,-0.350939986
Assam Meghalaya,2,1905,8,1.584040706
Assam Meghalaya,2,1905,9,1.657495951
Assam Meghalaya,2,1905,10,-0.054004738
Assam Meghalaya,2,1905,11,0.455447539
Assam Meghalaya,2,1905,12,0.109669964
Assam Meghalaya,2,1906,1,0.376118348
Assam Meghalaya,2,1906,2,0.98039567
Assam Meghalaya,2,1906,3,0.916011538
Assam Meghalaya,2,1906,4,0.798059352
Assam Meghalaya,2,1906,5,0.026483186
Assam Meghalaya,2,1906,6,-0.954307242
Assam Meghalaya,2,1906,7,-0.273642767
Assam Meghalaya,2,1906,8,1.4266058
Assam Meghalaya,2,1906,9,1.654568352
Assam Meghalaya,2,1906,10,0.518196087
Assam Meghalaya,2,1906,11,0.509614993
Assam Meghalaya,2,1906,12,0.470150678
Assam Meghalaya,2,1907,1,0.855403862
Assam Meghalaya,2,1907,2,1.005314315
Assam Meghalaya,2,1907,3,0.997420083
Assam Meghalaya,2,1907,4,0.794922956
Assam Meghalaya,2,1907,5,-0.933817243
Assam Meghalaya,2,1907,6,-0.850347632
Assam Meghalaya,2,1907,7,0.393428645
Assam Meghalaya,2,1907,8,-0.453968007
Assam Meghalaya,2,1907,9,-0.608908599
Assam Meghalaya,2,1907,10,-0.805747415
Assam Meghalaya,2,1907,11,-2.314258764
Assam Meghalaya,2,1907,12,-0.045414768
Assam Meghalaya,2,1908,1,0.645553159
Assam Meghalaya,2,1908,2,-0.155416358
Assam Meghalaya,2,1908,3,-1.544885444
Assam Meghalaya,2,1908,4,-1.270953913
Assam Meghalaya,2,1908,5,-0.509749922
Assam Meghalaya,2,1908,6,-0.904762924
Assam Meghalaya,2,1908,7,-0.59857711
Assam Meghalaya,2,1908,8,-0.478783964
Assam Meghalaya,2,1908,9,0.282427784
Assam Meghalaya,2,1908,10,0.444431024
Assam Meghalaya,2,1908,11,-0.971657371
Assam Meghalaya,2,1908,12,-1.754018029
Assam Meghalaya,2,1909,1,-0.072965982
Assam Meghalaya,2,1909,2,-0.746132222
Assam Meghalaya,2,1909,3,-3.510729456
Assam Meghalaya,2,1909,4,-1.305098179
